UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
155399,"R",546764,"A",,"R",59472,"G",18225,"G",2478,"G",18225,"G",2478,"R",758,2
155414,"R",20823,"A",,"R",837,"G",694,"G",35,"G",694,"G",35,"A",,2
155423,"R",26549,"A",,"A",,"G",885,"A",,"G",885,"A",,"A",,2
155441,"A",,"R",42980,"A",,"G",48,"A",,"G",48,"A",,"A",,1
155450,"R",37694,"A",,"A",,"G",1256,"A",,"G",1256,"A",,"A",,2
155487,"R",18856,"A",,"A",,"G",629,"A",,"G",629,"A",,"A",,2
155496,"R",8383,"A",,"A",,"G",279,"A",,"G",279,"A",,"A",,2
155511,"R",18404,"A",,"R",132,"G",613,"G",6,"G",613,"R",7,"A",,2
155520,"R",47777,"A",,"R",13564,"G",1593,"G",565,"G",1593,"G",565,"A",,2
155566,"R",49064,"A",,"A",,"G",1635,"A",,"G",1635,"A",,"A",,2
155593,"R",20166,"A",,"A",,"G",672,"A",,"G",672,"A",,"A",,2
155618,"R",16226,"A",,"A",,"G",541,"A",,"G",541,"A",,"A",,2
155627,"R",16045,"A",,"R",259,"G",535,"G",11,"G",535,"G",11,"A",,2
155636,"R",7026,"A",,"R",3657,"G",234,"G",152,"G",234,"G",152,"A",,2
155681,"R",181230,"A",,"R",19124,"G",6041,"G",797,"G",6041,"G",797,"A",,2
155715,"R",33908,"A",,"A",,"G",1130,"A",,"G",1130,"A",,"A",,2
155812,"R",22088,"A",,"R",4833,"G",736,"G",201,"G",736,"G",201,"R",66,2
155830,"R",12347,"A",,"A",,"G",412,"A",,"G",412,"A",,"A",,2
155858,"R",39766,"A",,"A",,"G",1326,"A",,"G",1326,"A",,"A",,2
155867,"A",,"R",73265,"A",,"G",81,"A",,"G",81,"A",,"A",,1
155900,"R",38281,"A",,"R",8455,"G",1276,"G",352,"G",1276,"G",352,"A",,2
155937,"R",18013,"A",,"A",,"G",600,"A",,"G",600,"A",,"A",,2
155973,"R",20480,"A",,"R",152,"G",683,"G",6,"G",683,"G",6,"A",,2
156082,"R",143575,"A",,"R",7346,"G",4786,"G",306,"G",4786,"G",306,"R",493,2
156107,"R",66611,"A",,"A",,"G",2220,"A",,"G",2220,"A",,"A",,2
156125,"R",298816,"A",,"R",42771,"G",9961,"G",1782,"G",9961,"G",1782,"R",147,2
156134,"A",,"R",1813500,"A",,"G",2015,"A",,"G",2015,"A",,"A",,1
156189,"R",18382,"A",,"A",,"G",613,"A",,"R",569,"A",,"A",,2
156213,"R",42456,"A",,"R",4412,"G",1415,"G",184,"G",1415,"G",184,"A",,2
156222,"A",,"A",,"R",25089,"A",,"G",1045,"A",,"G",1045,"A",,-2
156231,"R",74474,"A",,"A",,"G",2482,"A",,"G",2482,"A",,"A",,2
156277,"A",,"R",66702,"A",,"G",74,"A",,"G",74,"A",,"A",,1
156286,"R",80511,"A",,"R",11907,"G",2684,"G",496,"G",2684,"G",496,"R",271,2
156295,"R",55046,"A",,"A",,"G",1835,"A",,"R",1623,"A",,"A",,2
156310,"A",,"R",381287,"A",,"G",424,"A",,"G",424,"A",,"A",,1
156338,"R",83807,"A",,"A",,"G",2794,"A",,"G",2794,"A",,"A",,2
156356,"R",20188,"A",,"R",167,"G",673,"G",7,"G",673,"G",7,"A",,2
156365,"R",74560,"A",,"R",11103,"G",2485,"G",463,"G",2485,"G",463,"A",,2
156392,"R",256800,"A",,"A",,"G",8560,"A",,"G",8560,"A",,"A",,2
156408,"R",38809,"A",,"A",,"G",1294,"A",,"R",1350,"A",,"A",,2
156417,"R",3691,"A",,"A",,"G",123,"A",,"G",123,"A",,"A",,2
156426,"A",,"R",307134,"A",,"G",341,"A",,"G",341,"A",,"A",,1
156444,"A",,"R",15154,"A",,"G",17,"A",,"G",17,"A",,"A",,1
156471,"R",18782,"R",431850,"A",,"G",1106,"A",,"R",994,"A",,"A",,3
156541,"R",46498,"A",,"R",48830,"G",1550,"G",2035,"G",1550,"G",2035,"A",,2
156620,"R",362781,"A",,"R",34375,"G",12093,"G",1432,"G",12093,"G",1432,"R",67,2
156648,"R",112862,"A",,"A",,"G",3762,"A",,"G",3762,"A",,"A",,2
156675,"A",,"R",60270,"A",,"G",67,"A",,"G",67,"A",,"A",,1
156727,"A",,"A",,"R",32705,"A",,"G",908,"A",,"G",908,"R",87,-2
156745,"R",34002,"A",,"R",5714,"G",1133,"G",238,"G",1133,"G",238,"A",,2
156754,"A",,"R",71904,"A",,"G",80,"A",,"G",80,"A",,"A",,1
156790,"R",62608,"A",,"A",,"G",2087,"A",,"G",2087,"A",,"A",,2
156842,"A",,"R",260309,"A",,"G",289,"A",,"G",289,"A",,"A",,1
156851,"R",39000,"A",,"A",,"G",1300,"A",,"G",1300,"A",,"A",,2
156860,"R",68064,"A",,"A",,"G",2269,"A",,"G",2269,"A",,"A",,2
156903,"R",5472,"R",4050,"A",,"G",126,"A",,"G",126,"A",,"A",,3
156921,"R",238495,"A",,"A",,"G",7950,"A",,"G",7950,"A",,"A",,2
156949,"A",,"R",33300,"A",,"G",37,"A",,"G",37,"A",,"A",,1
156967,"A",,"R",140252,"A",,"G",156,"A",,"G",156,"A",,"A",,1
157021,"R",67077,"A",,"A",,"G",1491,"A",,"G",1491,"A",,"A",,2
157030,"R",2004,"A",,"A",,"G",67,"A",,"G",67,"A",,"A",,2
157058,"R",59133,"A",,"R",3394,"G",1971,"G",141,"G",1971,"G",141,"A",,2
157076,"R",18987,"A",,"A",,"G",633,"A",,"G",633,"A",,"A",,2
157085,"R",602332,"A",,"R",82528,"G",20078,"G",3439,"G",20078,"G",3439,"R",2199,2
157100,"R",16980,"A",,"R",471,"G",566,"G",20,"G",566,"G",20,"A",,2
157207,"A",,"A",,"R",914,"A",,"G",38,"A",,"R",45,"R",1,-2
157216,"R",60776,"A",,"R",12628,"G",2026,"G",526,"G",2026,"G",526,"A",,2
157270,"R",17032,"A",,"A",,"G",378,"A",,"G",378,"A",,"A",,2
157289,"R",412507,"A",,"R",69369,"G",13750,"G",2890,"G",13750,"G",2890,"R",1563,2
157298,"A",,"A",,"R",3673,"A",,"G",153,"A",,"R",139,"R",36,-2
157304,"R",62466,"A",,"A",,"G",2082,"A",,"G",2082,"A",,"A",,2
157331,"R",89062,"A",,"A",,"G",2969,"A",,"G",2969,"A",,"A",,2
157359,"R",48832,"A",,"R",1578,"G",1628,"G",66,"G",1628,"G",66,"A",,2
157377,"R",35601,"A",,"R",2620,"G",1187,"G",109,"G",1187,"G",109,"A",,2
157386,"R",198963,"A",,"R",21389,"G",6632,"G",891,"G",6632,"G",891,"A",,2
157401,"R",231342,"A",,"R",29262,"G",7711,"G",1219,"G",7711,"G",1219,"R",9,2
157438,"R",72666,"A",,"A",,"G",2422,"A",,"G",2422,"A",,"A",,2
157447,"R",322223,"A",,"R",31620,"G",10741,"G",1318,"G",10741,"G",1318,"R",645,2
157456,"A",,"R",37800,"A",,"G",42,"A",,"G",42,"A",,"A",,1
157465,"R",10340,"R",2885,"A",,"G",233,"A",,"G",233,"A",,"A",,3
157483,"R",123206,"A",,"A",,"G",4107,"A",,"G",4107,"A",,"A",,2
157508,"A",,"R",101000,"A",,"G",112,"A",,"G",112,"A",,"A",,1
157535,"R",35953,"A",,"R",741,"G",1198,"G",31,"G",1198,"G",31,"R",373,2
157553,"R",79810,"A",,"A",,"G",2660,"A",,"G",2660,"A",,"A",,2
157599,"R",73684,"A",,"A",,"G",1637,"A",,"G",1637,"A",,"A",,2
157614,"A",,"R",104788,"A",,"G",116,"A",,"G",116,"A",,"A",,1
157632,"R",21776,"A",,"R",369,"G",726,"G",15,"G",726,"G",15,"A",,2
157650,"A",,"R",207013,"A",,"G",230,"A",,"G",230,"A",,"A",,1
157669,"A",,"R",138773,"A",,"G",154,"A",,"G",154,"A",,"A",,1
157678,"A",,"R",188011,"A",,"G",209,"A",,"G",209,"A",,"A",,1
157696,"R",24340,"A",,"A",,"G",541,"A",,"G",541,"A",,"A",,2
157711,"R",140934,"A",,"A",,"G",4698,"A",,"G",4698,"A",,"A",,2
157739,"R",65893,"A",,"A",,"G",2196,"A",,"G",2196,"A",,"A",,2
157748,"R",16756,"A",,"R",43227,"G",559,"G",1801,"G",559,"G",1801,"A",,2
157757,"R",31578,"A",,"R",21831,"G",1053,"G",910,"G",1053,"G",910,"A",,2
157766,"R",32298,"A",,"A",,"G",718,"A",,"G",718,"A",,"A",,2
